r_lat,r_lng,neighborhood,locality,county
41.887,-87.622,Chicago Loop,Chicago,Cook County
41.972,-87.65,Uptown,Chicago,Cook County
41.878,-87.632,Chicago Loop,Chicago,Cook County
41.892,-87.659,West Town,Chicago,Cook County
41.872,-87.651,Little Italy,Chicago,Cook County
41.886,-87.635,Chicago Loop,Chicago,Cook County
41.865,-87.618,Near South Side,Chicago,Cook County
41.876,-87.624,Chicago Loop,Chicago,Cook County
41.865,-87.647,Little Italy,Chicago,Cook County
41.895,-87.653,West Town,Chicago,Cook County
41.943,-87.671,Lake View,Chicago,Cook County
41.877,-87.628,Chicago Loop,Chicago,Cook County
41.949,-87.654,Lake View East,Chicago,Cook County
41.984,-87.669,Andersonville,Chicago,Cook County
41.87,-87.624,Chicago Loop,Chicago,Cook County
41.918,-87.644,Lincoln Park,Chicago,Cook County
41.915,-87.668,Bucktown,Chicago,Cook County
41.883,-87.661,Fulton Market District,Chicago,Cook County
41.885,-87.645,West Loop,Chicago,Cook County
41.9,-87.634,Near North,Chicago,Cook County
41.927,-87.634,Lincoln Park,Chicago,Cook County
41.839,-87.608,Douglas,Chicago,Cook County
41.898,-87.638,Near North Side,Chicago,Cook County
41.883,-87.649,West Loop,Chicago,Cook County
41.901,-87.663,West Town,Chicago,Cook County
41.92,-87.64,Lincoln Park,Chicago,Cook County
41.903,-87.643,Cabrini-Green,Chicago,Cook County
41.867,-87.641,Near West Side,Chicago,Cook County
41.891,-87.622,Streeterville,Chicago,Cook County
41.874,-87.628,Chicago Loop,Chicago,Cook County
41.967,-87.667,Sheridan Park,Chicago,Cook County
41.802,-87.587,East Hyde Park,Chicago,Cook County
41.995,-87.66,Edgewater,Chicago,Cook County
41.8,-87.59,Hyde Park,Chicago,Cook County
41.93,-87.71,Logan Square,Chicago,Cook County
41.896,-87.672,West Town,Chicago,Cook County
41.88,-87.656,West Loop,Chicago,Cook County
41.916,-87.667,Bucktown,Chicago,Cook County
41.978,-87.66,Edgewater,Chicago,Cook County
41.951,-87.669,Lake View,Chicago,Cook County
41.89,-87.64,West Town,Chicago,Cook County
41.9,-87.643,Cabrini-Green,Chicago,Cook County
41.954,-87.664,Wrigleyville,Chicago,Cook County
41.968,-87.65,Uptown,Chicago,Cook County
41.966,-87.689,Lincoln Square,Chicago,Cook County
41.898,-87.687,West Town,Chicago,Cook County
41.958,-87.655,Uptown,Chicago,Cook County
41.984,-87.66,Edgewater,Chicago,Cook County
41.9,-87.69,West Town,Chicago,Cook County
41.929,-87.659,Lincoln Park,Chicago,Cook County
41.96,-87.65,Uptown,Chicago,Cook County
41.795,-87.596,Hyde Park,Chicago,Cook County
41.888,-87.636,River North,Chicago,Cook County
41.873,-87.669,Near West Side,Chicago,Cook County
41.9,-87.697,West Town,Chicago,Cook County
41.962,-87.666,Sheridan Park,Chicago,Cook County
41.86,-87.626,Near South Side,Chicago,Cook County
41.879,-87.626,Chicago Loop,Chicago,Cook County
41.871,-87.631,Chicago Loop,Chicago,Cook County
41.94,-87.66,Lake View,Chicago,Cook County
41.89,-87.637,River North,Chicago,Cook County
41.898,-87.624,Streeterville,Chicago,Cook County
41.835,-87.626,Douglas,Chicago,Cook County
41.9,-87.668,West Town,Chicago,Cook County
41.842,-87.617,Douglas,Chicago,Cook County
41.903,-87.678,West Town,Chicago,Cook County
41.875,-87.633,Chicago Loop,Chicago,Cook County
41.905,-87.641,Cabrini-Green,Chicago,Cook County
41.936,-87.67,Lake View,Chicago,Cook County
41.93,-87.63,Lincoln Park,Chicago,Cook County
41.92,-87.69,Logan Square,Chicago,Cook County
41.933,-87.666,Lake View,Chicago,Cook County
41.858,-87.656,Lower West Side,Chicago,Cook County
41.88,-87.643,West Loop,Chicago,Cook County
41.95,-87.64,Lake View,Chicago,Cook County
41.943,-87.68,Roscoe Village,Chicago,Cook County
41.869,-87.659,Little Italy,Chicago,Cook County
41.911,-87.69,West Town,Chicago,Cook County
41.87,-87.639,Near West Side,Chicago,Cook County
41.92,-87.678,Bucktown,Chicago,Cook County
41.79,-87.6,Hyde Park,Chicago,Cook County
41.793,-87.588,Hyde Park,Chicago,Cook County
41.879,-87.636,Chicago Loop,Chicago,Cook County
41.9,-87.68,West Town,Chicago,Cook County
41.929,-87.669,Lincoln Park,Chicago,Cook County
41.91,-87.65,Goose Island,Chicago,Cook County
41.901,-87.677,West Town,Chicago,Cook County
41.891,-87.667,West Town,Chicago,Cook County
41.875,-87.65,Near West Side,Chicago,Cook County
41.969,-87.658,Uptown,Chicago,Cook County
41.93,-87.66,Lincoln Park,Chicago,Cook County
41.9,-87.67,West Town,Chicago,Cook County
41.96,-87.64,Uptown,Chicago,Cook County
41.918,-87.702,Logan Square,Chicago,Cook County
41.978,-87.669,Andersonville,Chicago,Cook County
41.891,-87.618,Streeterville,Chicago,Cook County
41.871,-87.674,Near West Side,Chicago,Cook County
41.879,-87.63,Chicago Loop,Chicago,Cook County
41.94,-87.67,Lake View,Chicago,Cook County
41.858,-87.651,Lower West Side,Chicago,Cook County
41.838,-87.645,Bridgeport,Chicago,Cook County
41.98,-87.65,Edgewater,Chicago,Cook County
41.886,-87.667,West Loop,Chicago,Cook County
41.877,-87.639,West Loop,Chicago,Cook County
41.883,-87.657,West Loop,Chicago,Cook County
41.878,-87.662,West Loop,Chicago,Cook County
41.889,-87.638,River North,Chicago,Cook County
41.963,-87.685,Lincoln Square,Chicago,Cook County
41.883,-87.637,Chicago Loop,Chicago,Cook County
41.867,-87.632,Near South Side,Chicago,Cook County
41.876,-87.631,Chicago Loop,Chicago,Cook County
41.929,-87.684,Bucktown,Chicago,Cook County
41.895,-87.668,West Town,Chicago,Cook County
41.87,-87.62,Chicago Loop,Chicago,Cook County
41.917,-87.71,Logan Square,Chicago,Cook County
41.789,-87.601,Hyde Park,Chicago,Cook County
41.936,-87.678,Hamlin Park,Chicago,Cook County
41.888,-87.637,River North,Chicago,Cook County
41.956,-87.68,North Center,Chicago,Cook County
41.914,-87.705,Logan Square,Chicago,Cook County
41.896,-87.62,Streeterville,Chicago,Cook County
41.851,-87.619,Near South Side,Chicago,Cook County
41.87,-87.63,Chicago Loop,Chicago,Cook County
41.91,-87.644,Goose Island,Chicago,Cook County
41.903,-87.687,West Town,Chicago,Cook County
41.875,-87.657,Little Italy,Chicago,Cook County
41.869,-87.686,Tri-Taylor,Chicago,Cook County
41.899,-87.672,West Town,Chicago,Cook County
41.978,-87.668,Andersonville,Chicago,Cook County
41.915,-87.643,Lincoln Park,Chicago,Cook County
41.961,-87.676,North Center,Chicago,Cook County
41.98,-87.67,Andersonville,Chicago,Cook County
